"competitie_naam","seizoen","genre","poule_naam","divisie","datum","tijd","sporthal","plaats_sporthal","thuisteam","thuisclub","plaats_thuisclub","uitteam","uitclub","plaats_uitclub","scheids1_hashed","scheids2_hashed","thuisscore","uitscore"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-09-26","10:45:00","Amersfoort - Schuilenburghal","Amersfoort","UA Sonics","Sonics","Amersfoort","UFC Utrecht 1","UFC Utrecht","Utrecht","7375e9769477ca69d4b3aa06bbdca2ee","e7323ae630ac7677d6bc7c5edbfe6040","5","1"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-09-26","16:00:00","Amersfoort - Schuilenburghal","Amersfoort","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","HDM","HSK Floorball","Den Haag","b2716f36737191f6e97a004132ec9dc4","b5e149b18fcd55c3f55a18b86c6578c0","0","10"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-10-24","17:45:00","Groningen - sportcentrum RUG & HG (ACLO) dubbel","Groningen","UC Face Off","U.C. Face Off","Groningen","Quick Feet","Quick Feet","Groningen","4508b704ad17d1be524df2a48b3a3afc","b5e149b18fcd55c3f55a18b86c6578c0","1","1"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-09-26","12:30:00","Sportcentrum Universiteit Twente","Enschede","FB Agents","Floorball Agents","Amsterdam","Messed Up","Messed Up","Enschede","268e17b511d3f1a892bf9b9a6bdefc1c","85f04c7575495d32bd42adaabe3f790d","7","2"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-10-10","17:45:00","Amersfoort - Zielhorst","Amersfoort","UFC Groningen","UFC Groningen","Groningen","UFC Utrecht 2","UFC Utrecht","Utrecht","56d01f82d5e18271d4509ce89a1f2339","740622d0bd988872411988206d9cd753","8","1"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-01-23","16:30:00","Amersfoort - Schuilenburghal","Amersfoort","UFC Groningen","UFC Groningen","Groningen","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","099720cf9154817e954ed8583adaa637","d18d24182aa1598ea714358b12a49cb7","6","2"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-09-26","14:15:00","Amersfoort - Schuilenburghal","Amersfoort","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","UFC Groningen","UFC Groningen","Groningen","f8cd5ba4b8d3c0dade7c079fd87a3c3b","ca86fb026aa6a7170be6a5582eb883c0","5","3"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-10-03","16:00:00","Sportcentrum Universiteit Twente","Enschede","UA Sonics","Sonics","Amersfoort","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","07c4d10eb37fb69772a0970c8b0a705a","5d30a3eca945d8eb914813f87b2a9689","2","2"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-10-03","17:45:00","Sportcentrum Universiteit Twente","Enschede","Messed Up","Messed Up","Enschede","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","8715d8b7390cea94fb9c1fc7d4dc7f19","7912c06dd382375ebc41e22eba18e171","3","1"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-10-03","17:45:00","Lunetten Sporthal","Utrecht","UFC Utrecht 1","UFC Utrecht","Utrecht","UC Face Off","U.C. Face Off","Groningen","f4a29fda5ec9060b7deeaa08a67af3b0","fde263cbe62c619c986c21f8396e5749","3","0"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-01-23","14:45:00","Amersfoort - Schuilenburghal","Amersfoort","Quick Feet","Quick Feet","Groningen","HDM","HSK Floorball","Den Haag","923255d8be96824ac3d1c4efe3dafeef","f965dc7477235e1c142d77decfd0f99e","0","5"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-10-03","17:00:00","Universitair Sportcentrum","Delft","UFC Utrecht 2","UFC Utrecht","Utrecht","FB Agents","Floorball Agents","Amsterdam","f8cd5ba4b8d3c0dade7c079fd87a3c3b","fd5fd6cf96fa034428b843e4bf736755","1","4"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-10-10","16:30:00","Leidschendam - De Fluit","Leidschendam","UA Sonics","Sonics","Amersfoort","HDM","HSK Floorball","Den Haag","4f6edfb342442620537e71d8fd480bf2","dfb17181f351b0c253ec2dbbd1d26476","2","0"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-10-10","16:00:00","Universitair Sportcentrum","Nijmegen","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","UC Face Off","U.C. Face Off","Groningen","0b46d9f8b403ed4a88e45e5fa407eb61","7d44fdb4cd369049c23112395b915226","0","0"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-10-10","17:45:00","Universitair Sportcentrum","Nijmegen","FB Agents","Floorball Agents","Amsterdam","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","bc802ff6321cbbd91f6a779c128e384b","045d8a65141bb3664cc1d6e65ee8ec5c","6","1"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-10-10","16:00:00","Amersfoort - Zielhorst","Amersfoort","UFC Utrecht 1","UFC Utrecht","Utrecht","Quick Feet","Quick Feet","Groningen","c529f83cb2a5e5c413e281fda484171b","ae328dd8832a9397869997825313668a","4","5"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-10-24","16:00:00","Groningen - sportcentrum RUG & HG (ACLO) dubbel","Groningen","Messed Up","Messed Up","Enschede","UFC Groningen","UFC Groningen","Groningen","685ffe06078db81b98e0fdaa36460cfb","c42386b84ff1ede5be28aa82d9b5d7dc","3","0"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-10-24","10:45:00","Lunetten Sporthal","Utrecht","UFC Utrecht 1","UFC Utrecht","Utrecht","HDM","HSK Floorball","Den Haag","fde263cbe62c619c986c21f8396e5749","8e25d3770321297631407dc9e78f231d","3","7"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-10-24","17:45:00","Lunetten Sporthal","Utrecht","FB Agents","Floorball Agents","Amsterdam","UFC Utrecht 2","UFC Utrecht","Utrecht","8ebc2a80369a88144caefe214a73aed0","03694eebb1acad9d336aabeaaed5a48b","4","0"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-10-31","10:45:00","Lunetten Sporthal","Utrecht","UFC Utrecht 2","UFC Utrecht","Utrecht","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","f3c1be73e0c6e6250e14f26e2735289a","b122057a3469d35d27c29a861f14c279","3","1"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-10-31","16:00:00","Lunetten Sporthal","Utrecht","UFC Utrecht 1","UFC Utrecht","Utrecht","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","6585c49375551f4f1e49a172c0189a55","c9725eee9c6751199b016a0f464ee4b3","2","2"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-10-31","10:45:00","Amersfoort - Schuilenburghal","Amersfoort","UA Sonics","Sonics","Amersfoort","Quick Feet","Quick Feet","Groningen","923255d8be96824ac3d1c4efe3dafeef","041623a4c1f3b09fbc8337c64d982faf","6","1"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-01-30","10:45:00","Universitair Sportcentrum","Nijmegen","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","UFC Utrecht 1","UFC Utrecht","Utrecht","b9143c206c117f758c5c2dadf481596a","8e25d3770321297631407dc9e78f231d","1","4"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-10-31","14:15:00","Amersfoort - Schuilenburghal","Amersfoort","FB Agents","Floorball Agents","Amsterdam","UFC Groningen","UFC Groningen","Groningen","f65d035f5f0dfbec962ade864852125d","03e1f8b73b3ad1d3a63ff618cae36cf1","3","7"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-11-14","12:30:00","Lunetten Sporthal","Utrecht","UA Sonics","Sonics","Amersfoort","UC Face Off","U.C. Face Off","Groningen","b4a33c36406448d51a4dac9c5ff46f2f","c529f83cb2a5e5c413e281fda484171b","1","4"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-11-14","14:15:00","Sportcentrum Universiteit Twente","Enschede","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","Quick Feet","Quick Feet","Groningen","ff6c0a290b7ebae41b211630d273b935","1181f9ff581f47ebcd66a48a113c364c","4","1"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-11-14","16:00:00","Sportcentrum Universiteit Twente","Enschede","UFC Groningen","UFC Groningen","Groningen","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","e489e5024192defa1ce55840ff0f3c20","f7c2c9eb77ce7d0a81deced70a53e9c4","9","0"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-11-14","17:45:00","Sportcentrum Universiteit Twente","Enschede","Messed Up","Messed Up","Enschede","UFC Utrecht 2","UFC Utrecht","Utrecht","bbfa1791d1169b455dbc53a532f7d8bb","d77bd7f9bd8516f778c5c7679be509b0","0","1"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-11-21","17:45:00","Universitair Sportcentrum","Nijmegen","UFC Utrecht 2","UFC Utrecht","Utrecht","UFC Groningen","UFC Groningen","Groningen","ca86fb026aa6a7170be6a5582eb883c0","1a537af6ae082ba8f7c99472b2a9c87c","1","6"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-11-21","14:15:00","Amersfoort - Schuilenburghal","Amersfoort","Messed Up","Messed Up","Enschede","FB Agents","Floorball Agents","Amsterdam","f65d035f5f0dfbec962ade864852125d","4ff997e47fe53f2c5714850357c2f325","3","4"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-11-21","16:00:00","Amersfoort - Juliana van Stolberghal","Amersfoort","HDM","HSK Floorball","Den Haag","Quick Feet","Quick Feet","Groningen","07c4d10eb37fb69772a0970c8b0a705a","7adfe943c89dced88eb9264427ee9685","8","1"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-11-21","17:45:00","Amersfoort - Juliana van Stolberghal","Amersfoort","UFC Utrecht 1","UFC Utrecht","Utrecht","UA Sonics","Sonics","Amersfoort","56d01f82d5e18271d4509ce89a1f2339","8c76698b23b8b80c24b7f12da58a9b5d","2","2"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-11-28","10:45:00","Amersfoort - Midland","Amersfoort","HDM","HSK Floorball","Den Haag","UA Sonics","Sonics","Amersfoort","07c4d10eb37fb69772a0970c8b0a705a","7adfe943c89dced88eb9264427ee9685","2","2"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-11-28","16:00:00","Lunetten Sporthal","Utrecht","Quick Feet","Quick Feet","Groningen","UFC Utrecht 1","UFC Utrecht","Utrecht","3938be8f898a2ed42f2326e0eebc4929","7aaa2c7354f8adf523d4e88ea5ee66e7","5","5"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2009-11-28","10:45:00","Universitair Sportcentrum","Nijmegen","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","UFC Utrecht 2","UFC Utrecht","Utrecht","9608e05bbec9f0e5009f1b795f221999","aa5e55e6a092b3a99ce9cca37fbb302e","1","6"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2009-11-28","16:00:00","Universitair Sportcentrum","Nijmegen","UC Face Off","U.C. Face Off","Groningen","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","1181f9ff581f47ebcd66a48a113c364c","ff6c0a290b7ebae41b211630d273b935","1","1"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-01-16","12:30:00","Amersfoort - Schuilenburghal","Amersfoort","UFC Groningen","UFC Groningen","Groningen","FB Agents","Floorball Agents","Amsterdam","4553a07095c1b2a4945fff7c038652b8","5820c4a1d4b37a97ea6f7e8b38baaa30","3","7"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-01-16","16:00:00","Amersfoort - Schuilenburghal","Amersfoort","UC Face Off","U.C. Face Off","Groningen","UA Sonics","Sonics","Amersfoort","a7c03e28b1abf335193b3b20f3282837","d2a14989ad52baf47a7498ee33e4ab09","0","4"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-01-16","14:15:00","Universitair Sportcentrum","Nijmegen","Quick Feet","Quick Feet","Groningen","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","1f031dd297b1ab2a4b846e8ceec47b72","986a90ff65e36b8450f421e8fe6a0734","2","3"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-01-16","16:00:00","Universitair Sportcentrum","Nijmegen","HDM","HSK Floorball","Den Haag","UFC Utrecht 1","UFC Utrecht","Utrecht","8a388ef2fadae3e726e956df8eeef2ce","40a7beedbce5fd91eb97464e109cb743","5","2"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-01-16","17:45:00","Universitair Sportcentrum","Nijmegen","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","Messed Up","Messed Up","Enschede","bbd2cd865fc68f71bcab94fe52c87117","ba16900a1c32806d4994c417b27166a3","3","6"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-01-30","16:00:00","Universitair Sportcentrum","Nijmegen","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","FB Agents","Floorball Agents","Amsterdam","6a554bd91fac4c05baee7c505ad1a4b7","88e8b58d76f179957102b2ac6ed61291","0","8"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-01-30","12:30:00","Sportcentrum Universiteit Twente","Enschede","Quick Feet","Quick Feet","Groningen","UA Sonics","Sonics","Amersfoort","9608e05bbec9f0e5009f1b795f221999","aa5e55e6a092b3a99ce9cca37fbb302e","4","11"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-01-30","16:00:00","Sportcentrum Universiteit Twente","Enschede","UFC Utrecht 2","UFC Utrecht","Utrecht","Messed Up","Messed Up","Enschede","8f46a42da25674f8c2fa91c6fc9690b2","ca86fb026aa6a7170be6a5582eb883c0","1","3"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-01-30","16:30:00","Leidschendam - De Fluit","Leidschendam","HDM","HSK Floorball","Den Haag","UC Face Off","U.C. Face Off","Groningen","47abb2c86c5976f96be89329f332823d","f4a29fda5ec9060b7deeaa08a67af3b0","3","2"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-03-06","17:45:00","Lunetten Sporthal","Utrecht","UC Face Off","U.C. Face Off","Groningen","UFC Utrecht 1","UFC Utrecht","Utrecht","923255d8be96824ac3d1c4efe3dafeef","467f3fea63bcfbeac686c849833c2d39","2","1"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-03-13","14:15:00","Groningen - HIS Groningen","Groningen","HDM","HSK Floorball","Den Haag","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","19a3873f172dce79b58f3a90959c2858","85f04c7575495d32bd42adaabe3f790d","3","0"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-03-13","17:45:00","Groningen - HIS Groningen","Groningen","UFC Groningen","UFC Groningen","Groningen","Messed Up","Messed Up","Enschede","c529f83cb2a5e5c413e281fda484171b","4553a07095c1b2a4945fff7c038652b8","4","3"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-03-27","10:45:00","Groningen - HIS Groningen","Groningen","Quick Feet","Quick Feet","Groningen","UC Face Off","U.C. Face Off","Groningen","6726dc565f3cebd78423a258d2d5a2cd","a86fc0259b7a07b0548b11403f2d6c65","1","4"
"Dames Floorball competitie","2009","competitie","2e divisie","2","2010-03-27","14:15:00","Groningen - HIS Groningen","Groningen","Hot Shots 2","SUFV Hot Shots Nijmegen","Nijmegen","UFC Utrecht 2","UFC Utrecht","Utrecht","03694eebb1acad9d336aabeaaed5a48b","8ebc2a80369a88144caefe214a73aed0","4","2"
"Dames Floorball competitie","2009","competitie","Voorronde 1e divisie","1","2010-04-10","10:45:00","Amersfoort - Schuilenburghal","Amersfoort","Hot Shots 1","SUFV Hot Shots Nijmegen","Nijmegen","UA Sonics","Sonics","Amersfoort","8f46a42da25674f8c2fa91c6fc9690b2","89cf35bda722d3c994bd3d61de8e18be","0","4"
