competitie_naam,seizoen,genre,poule_naam,divisie,datum,tijd,sporthal,plaats_sporthal,thuisteam,thuisclub,plaats_thuisclub,uitteam,uitclub,plaats_uitclub,scheids1_hashed,scheids2_hashed,thuisscore,uitscore
Dames NeFUB Cup,2011,beker,NeFUB Cup - Halve finale,1,2012-04-14,17:15:00,Lunetten Sporthal,Utrecht,UA Sonics 1,Sonics,Amersfoort,UA Sonics 2,Sonics,Amersfoort,d289671e2b3974a352c2dd1240dc495a,7652402bc75dd6aae83926565d619198,11,0
Dames NeFUB Cup,2011,beker,NeFUB cup - Finale,1,2012-05-19,17:00:00,Het Gastland,Rhenen,UA Sonics 1,Sonics,Amersfoort,UFC Utrecht,UFC Utrecht,Utrecht,42c95a484c9258b0085025590ce4171c,782356bc86084494e137781fc42fc97a,6,3
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2011-09-24,14:15:00,Sportcentrum Universiteit Twente,Enschede,UA Sonics 1,Sonics,Amersfoort,UFC Utrecht 2,UFC Utrecht,Utrecht,41180a1d23116214326e162bd22769e8,52d52761edc9041fc419d4357cb029d0,9,0
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2011-10-01,12:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,FB Agents,Floorball Agents,Amsterdam,dc0a68fd3435aa4160c74cc7037a8c1f,203a6531f2ea38f37bef001d49d5228a,7,3
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2011-10-29,12:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 2,Sonics,Amersfoort,UA Sonics 1,Sonics,Amersfoort,0b8228254a9a2b97992e4bac6d1a388f,f79f27b395df47007eb4ef8265270b01,1,14
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2011-11-12,14:15:00,Sportcentrum Universiteit Twente,Enschede,UC Face Off,U.C. Face Off,Groningen,UA Sonics 1,Sonics,Amersfoort,e0591c9945234368fbb8a972b55eb0c3,412e903f703a3fa5f5cdee761562d9be,1,2
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2012-03-10,14:15:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,Floorball Flames,Floorball Flames Nijmegen,Nijmegen,e89c6764cb79f40313364589a5651c40,a7c03e28b1abf335193b3b20f3282837,5,1
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2012-01-21,10:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics 1,Sonics,Amersfoort,7ac8130b52c6f6ce2b283cf7c0bba49d,b9143c206c117f758c5c2dadf481596a,2,3
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2012-02-18,12:30:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UA Sonics 1,Sonics,Amersfoort,Messed Up,Messed Up,Enschede,beb489d31ce3439639ccf5b8f5367f8e,e8b586dae2dc4c685925de6bb697da45,2,2
Dames Floorball Competitie,2011,competitie,Dames Eredivisie,1,2012-02-11,16:00:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Groningen,UFC Groningen,Groningen,UA Sonics 1,Sonics,Amersfoort,07ce5bc6d8516f4c117e1c20e7aa3e06,e0591c9945234368fbb8a972b55eb0c3,1,14
Dames Floorball Competitie,2011,competitie,Bovenste poule,1,2012-03-24,12:30:00,Lewenborg,Groningen,UC Face Off,U.C. Face Off,Groningen,UA Sonics 1,Sonics,Amersfoort,56d01f82d5e18271d4509ce89a1f2339,e89c6764cb79f40313364589a5651c40,3,1
Dames Floorball Competitie,2011,competitie,Bovenste poule,1,2012-03-31,10:45:00,Amersfoort - Schuilenburghal,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics 1,Sonics,Amersfoort,045d8a65141bb3664cc1d6e65ee8ec5c,e8b586dae2dc4c685925de6bb697da45,4,6
Dames Floorball Competitie,2011,competitie,Bovenste poule,1,2012-04-21,15:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,Floorball Flames,Floorball Flames Nijmegen,Nijmegen,faf054dd8a2f0698429231110cc4b4b4,8fb3699cef86f5f9c4c84df44eec32fe,1,2
Dames Floorball Competitie,2011,competitie,Bovenste poule,1,2012-05-12,10:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,FB Agents,Floorball Agents,Amsterdam,f168b49418df8cdc224f3921a00f886d,b89cb57851209bf633f9fe68b34068ea,8,2
Dames Floorball Competitie,2011,competitie,Play-offs eredivie dames,1,2012-05-26,11:00:00,Sporthallen Zuid,Amsterdam,UA Sonics 1,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,7ac8130b52c6f6ce2b283cf7c0bba49d,06bd1f981bcec6deb2475c2ee558ba5b,4,1
Dames Floorball Competitie,2011,competitie,Play-offs eredivie dames,1,2012-05-27,14:45:00,Sporthallen Zuid,Amsterdam,UC Face Off,U.C. Face Off,Groningen,UA Sonics 1,Sonics,Amersfoort,47d4f1b75fb1cb6b3683ae567090ddad,47d4f1b75fb1cb6b3683ae567090ddad,4,2
Dames NeFUB Cup,2012,beker,Kwartfinale,0,2013-02-10,09:45:00,Triangel,Lent (Nijmegen),UA Sonics 1,Sonics,Amersfoort,Floorball Flames,Floorball Flames Nijmegen,Nijmegen,d18d24182aa1598ea714358b12a49cb7,e0591c9945234368fbb8a972b55eb0c3,11,0
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-09-15,14:15:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,Floorball Flames,Floorball Flames Nijmegen,Nijmegen,dc0a68fd3435aa4160c74cc7037a8c1f,203a6531f2ea38f37bef001d49d5228a,11,3
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-09-29,12:30:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,UA Sonics 1,Sonics,Amersfoort,7d44fdb4cd369049c23112395b915226,384bf1cd70241d860239928266da7b5e,3,7
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-10-06,10:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 2,Sonics,Amersfoort,UA Sonics 1,Sonics,Amersfoort,cc29f643322ac6182bc4958485fe3f30,faf054dd8a2f0698429231110cc4b4b4,1,6
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-11-10,14:15:00,Nijmegen - Meijhorst,Nijmegen,HDM Falcons,HSK Floorball,Den Haag,UA Sonics 1,Sonics,Amersfoort,fd5fd6cf96fa034428b843e4bf736755,b92817b6e27d525c9a75c8eeda13cf09,1,7
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-11-17,17:45:00,Lewenborg,Groningen,UC Face Off 2,U.C. Face Off,Groningen,UA Sonics 1,Sonics,Amersfoort,47d4f1b75fb1cb6b3683ae567090ddad,47d4f1b75fb1cb6b3683ae567090ddad,0,5
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-11-24,12:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,UFC Utrecht 2,UFC Utrecht,Utrecht,c6d04c976f8e1379143e735026cd29b4,92b7b485d54095a00bd1f90308fd7189,20,0
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-12-01,17:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),UFC Groningen,UFC Groningen,Groningen,UA Sonics 1,Sonics,Amersfoort,dc862a8de4a2bcca095c554216a94c90,7ac8130b52c6f6ce2b283cf7c0bba49d,0,8
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2012-12-15,12:30:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,FB Agents,Floorball Agents,Amsterdam,e8b586dae2dc4c685925de6bb697da45,beb489d31ce3439639ccf5b8f5367f8e,5,6
Dames Floorball Competitie,2012,competitie,Eredivisie Voorronde,1,2013-01-19,17:45:00,Amersfoort - Juliana van Stolberghal,Amersfoort,UA Sonics 1,Sonics,Amersfoort,UC Face Off 1,U.C. Face Off,Groningen,faf054dd8a2f0698429231110cc4b4b4,34792d4236481e0353cd4976f1b2ebcc,3,3
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-02-09,14:15:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,a86fc0259b7a07b0548b11403f2d6c65,3b8aff4f422864b873a9c726968110eb,5,5
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-03-09,10:45:00,Amersfoort - ICOON,Amersfoort (Vathorst),FB Agents,Floorball Agents,Amsterdam,UA Sonics 1,Sonics,Amersfoort,7652402bc75dd6aae83926565d619198,6e125fec181ed03e1532d994a2783b85,0,0
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-04-06,16:00:00,Sportcentrum Universiteit Twente,Enschede,UC Face Off 1,U.C. Face Off,Groningen,UA Sonics 1,Sonics,Amersfoort,041b0d41cac9e4bae468c10a0d0c3e18,07e3383110ee11e855d9b64349cfcd10,2,4
Dames Floorball Competitie,2012,competitie,Eredivisie Bovenste Poule,1,2013-04-13,14:15:00,Amersfoort - ICOON,Amersfoort (Vathorst),UA Sonics 1,Sonics,Amersfoort,HDM Falcons,HSK Floorball,Den Haag,a86fc0259b7a07b0548b11403f2d6c65,3b8aff4f422864b873a9c726968110eb,11,5
Dames Floorball Competitie,2012,competitie,Eredivisie Play-offs,1,2013-04-20,11:00:00,Amsterdam - BL46,Amsterdam,UA Sonics 1,Sonics,Amersfoort,UFC Utrecht 1,UFC Utrecht,Utrecht,bc802ff6321cbbd91f6a779c128e384b,7652402bc75dd6aae83926565d619198,16,5
